"id","question_id","text","value","created_at","updated_at"
35,12,Ara sıra dinlerim,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
36,12,Neredeyse hiç dinlemem,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
37,13,Sürekli okurum,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
38,13,Ara sıra okurum,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
39,13,Hiç okumam,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
40,14,Düzenli yaparım,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
41,14,Ara sıra yaparım,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
42,14,Hiç yapmam,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
43,15,İlgiliyim,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
44,15,Biraz ilgim var,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
45,15,Hiç ilgim yok,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
46,16,İçe dönüğüm,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
47,16,Dengeliyim,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
48,16,Dışa dönüğüm,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
49,17,Kolay uyum sağlarım,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
50,17,Bazen zorlanırım,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
51,17,Belirli bir düzene ihtiyacım olur,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
52,18,Planlı ve disiplinliyim,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
53,18,Bazen ertelerim,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
54,18,Çok düzenim yok,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
55,19,Severim ve bakabilirim,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
56,19,Severim ama bakamam,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
57,19,Sevmiyorum,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
58,20,Bitki yetiştiririm,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
59,20,Yetiştirmem,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
60,20,Ben yetiştirmem ama ev arkadaşım bitki yetiştirebelir rahatsız olmam,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
61,21,Öğrenciyim,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
62,21,Çalışıyorum,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
63,21,Serbest meslek,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
64,22,Sürekli seyahat ederim,1,"2025-05-30 19:27:00","2025-05-30 19:27:00"
65,22,Ara sıra seyahat ederim,2,"2025-05-30 19:27:00","2025-05-30 19:27:00"
66,22,Pek seyahat etmem,3,"2025-05-30 19:27:00","2025-05-30 19:27:00"
